trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.95}",25,0,-107.5935366391942,"{0: 15, 1: 2, 2: 5, 3: 3, 4: 0}",0
2,False,"{'a': 0.2, 'e': 0.8999999999999999}",20,0,-104.71954818996983,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.2, 'e': 0.8499999999999999}",25,0,-130.86832029031663,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
4,False,"{'a': 0.2, 'e': 0.7999999999999998}",25,0,-135.71256738349172,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.2, 'e': 0.7499999999999998}",25,0,-137.89122364625516,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.2, 'e': 0.6999999999999997}",30,0,-55.707805230061474,"{0: 23, 1: 1, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.6499999999999997}",30,2,-21.13505087896069,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 0}",1
8,False,"{'a': 0.2, 'e': 0.5999999999999996}",25,4,-66.94956323288316,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 1}",1
9,False,"{'a': 0.2, 'e': 0.5499999999999996}",20,0,-5.492041583885264,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.2, 'e': 0.4999999999999996}",30,7,26.556950920942665,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.2, 'e': 0.4499999999999996}",30,18,-19.480987986000947,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.2, 'e': 0.39999999999999963}",20,0,22.427587465940817,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.2, 'e': 0.34999999999999964}",20,10,7.664015251290556,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.2, 'e': 0.29999999999999966}",25,3,25.91530105597486,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.2, 'e': 0.24999999999999967}",30,20,19.02414765014159,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.2, 'e': 0.19999999999999968}",30,15,30.593341314832557,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.2, 'e': 0.1499999999999997}",25,5,12.074337179266156,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.2, 'e': 0.09999999999999969}",20,11,15.52565843668489,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.2, 'e': 0.049999999999999684}",20,12,14.178794741879221,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.2, 'e': 0}",20,12,15.207453617000635,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,20,19.14468132914557,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,10,29.02616402176583,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,17,17.461367972004858,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,16,19.764131922107122,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,7,32.77694075364123,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,11,18.12927528587674,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,13,25.364081582334208,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,10,19.928244224512397,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,12,13.582789797085619,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,12,15.132965501598479,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
