trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.475}",25,0,-79.44231863908891,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.4, 'e': 0.45125}",25,0,-72.1721993805146,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.42868749999999994}",30,0,-13.070755281641103,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.40725312499999994}",20,0,-46.38417120347795,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.38689046874999994}",25,0,7.664565534292812,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.4, 'e': 0.3675459453124999}",25,7,-3.41037199595221,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.4, 'e': 0.34916864804687486}",25,10,3.8004802690957376,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.4, 'e': 0.3317102156445311}",20,10,20.74629830733032,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.4, 'e': 0.31512470486230454}",25,14,-23.415434024214278,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.4, 'e': 0.2993684696191893}",35,16,19.37816389617139,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.4, 'e': 0.2844000461382298}",20,9,5.5563056759046825,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.4, 'e': 0.2701800438313183}",35,16,-17.77698357034908,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.4, 'e': 0.25667104163975235}",20,9,13.49397984904812,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.4, 'e': 0.24383748955776471}",30,17,21.695459552424644,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.4, 'e': 0.23164561507987647}",20,14,12.985938275221928,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.4, 'e': 0.22006333432588263}",20,13,15.168803975687247,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.4, 'e': 0.20906016760958848}",25,10,28.240687943432476,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.4, 'e': 0.19860715922910904}",30,20,9.01591066511991,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.4, 'e': 0.18867680126765357}",20,10,16.213443409240096,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
