trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-185.97810882497302,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.74028964550055,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-45.71223432970039,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.30307792891428,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.1307711376855,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-228.16597311058243,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-6.263957860846222,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.85992421757012,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.4641337605149,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-224.11841447447097,"{0: 18, 1: 6, 2: 7, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.25747859774526,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-189.64187723584604,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.81475954996102,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.0430248435207,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-263.12479272030384,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 5}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.44822821669047,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.2508673267183,"{0: 18, 1: 3, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-123.18197581271096,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.0867772256645,"{0: 19, 1: 2, 2: 4, 3: 4, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.36075845133546,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-139.56510247151897,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.12965969241931,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.64291554411437,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.84033575920645,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.08440130168894,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-180.20433831571083,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-215.23579887467673,"{0: 21, 1: 4, 2: 6, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.29928657676491,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-61.769006713902826,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-113.17178538619623,"{0: 19, 1: 1, 2: 7, 3: 3, 4: 0}",0
